PY,word,n
2021,ensino,71
2021,física,56
2022,ensino,46
2020,ensino,37
2020,física,37
2021,physics,32
2022,física,31
2021,teaching,28
2014,ensino,23
2018,ensino,23
2018,física,23
2020,physics,23
2012,ensino,22
2013,ensino,22
2022,teaching,22
2014,física,20
2017,ensino,20
2019,ensino,20
2017,física,18
2012,física,17
2020,teaching,17
2022,physics,17
2013,física,16
2018,physics,16
2018,teaching,15
2019,física,15
2021,médio,13
2012,physics,11
2015,ensino,11
2016,ensino,11
2019,arduino,11
2021,learning,11
2017,physics,10
2019,physics,10
2021,aprendizagem,10
2022,aprendizagem,10
2013,physics,9
2014,physics,9
2015,física,9
2016,arduino,9
2017,instruction,9
2017,peer,9
2018,feynman,9
2021,quântica,9
2012,teaching,8
2014,médio,8
2020,estudo,8
2020,modelo,8
2022,quantum,8
2022,quântica,8
2012,039,7
2013,médio,7
2014,experimental,7
2015,luz,7
2016,física,7
2017,médio,7
2017,teaching,7
2019,experimental,7
2019,laboratório,7
2020,didático,7
2020,modelagem,7
2021,desenvolvimento,7
2021,didática,7
2021,experimentos,7
2021,remoto,7
2021,school,7
2022,abordagem,7
2022,learning,7
2022,videoanalisando,7
2013,teaching,6
2013,virtual,6
2014,atrito,6
2014,teaching,6
2015,experimental,6
2015,ondulatória,6
2015,physics,6
2015,science,6
2016,physics,6
2017,astronomia,6
2017,quot,6
2018,enem,6
2019,didático,6
2019,proposta,6
2020,análise,6
2020,experimental,6
2020,luz,6
2020,model,6
2021,arduino,6
2021,astronomia,6
2021,education,6
2021,high,6
2021,quantum,6
2021,scientific,6
2021,simulação,6
2012,education,5
2012,modellus,5
2012,médio,5
2015,ciência,5
2015,teaching,5
2015,teoria,5
2016,custo,5
2016,led,5
2016,luz,5
2016,newton,5
2016,óptica,5
2017,aprendizagem,5
2017,custo,5
2017,educação,5
2018,astronomia,5
2018,simples,5
2019,learning,5
2019,médio,5
2019,teaching,5
2020,astronomia,5
2020,científica,5
2020,nuclear,5
2020,scientific,5
2021,abordagem,5
2021,análise,5
2021,científica,5
2021,custo,5
2021,didactic,5
2021,didático,5
2021,experimental,5
2021,geogebra,5
2021,instruction,5
2021,peer,5
2021,teoria,5
2022,análise,5
2022,didático,5
2022,fourier,5
2022,isle,5
2022,levantamento,5
2022,médio,5
2022,teoria,5
2012,formação,4
2012,moderna,4
2012,professores,4
2012,óptica,4
2013,aprendizagem,4
2013,ciência,4
2013,mecânica,4
2013,school,4
2014,aprendizagem,4
2014,fluorescência,4
2014,global,4
2015,experimento,4
2015,gt,4
2015,lt,4
2015,wave,4
2016,efeito,4
2016,helmholtz,4
2016,software,4
2016,teaching,4
2016,young,4
2017,ativa,4
2017,education,4
2017,gerador,4
2017,história,4
2017,lasers,4
2018,ciência,4
2018,didático,4
2018,médio,4
2018,science,4
2019,análise,4
2019,aprendizagem,4
2019,bioimpedância,4
2019,custo,4
2019,experimentais,4
2019,experimento,4
2019,experimentos,4
2019,experiments,4
2019,light,4
2019,matlab,4
2019,ondas,4
2019,physical,4
2019,speed,4
2020,039,4
2020,científico,4
2020,ciência,4
2020,didactic,4
2020,didática,4
2020,didáticos,4
2020,estudantes,4
2020,hooke,4
2020,learning,4
2020,meios,4
2020,modeling,4
2020,médio,4
2020,quântica,4
2020,science,4
2020,trânsito,4
2020,videoanálise,4
2020,óptica,4
2021,1,4
2021,19,4
2021,astronomy,4
2021,básica,4
2021,covid,4
2021,eletromagnetismo,4
2021,eletrônica,4
2021,experimento,4
2021,jogo,4
2021,laboratório,4
2021,metodologia,4
2021,modeling,4
2021,remote,4
2021,simulation,4
2021,sistemas,4
2021,solar,4
2022,didáticos,4
2022,education,4
2022,electric,4
2022,elétrico,4
2022,experimento,4
2022,metodologia,4
2022,recursos,4
2022,simulação,4
2022,theory,4
2022,velocidade,4
2022,videoanálise,4
2022,óptica,4
2012,abordagem,3
2012,campo,3
2012,ciências,3
2012,computacional,3
2012,didactic,3
2012,didático,3
2012,espectroscopia,3
2012,hall,3
2012,harvard,3
2012,lloyd,3
2012,modelo,3
2012,pnlem,3
2012,recursos,3
2013,analogias,3
2013,cern,3
2013,cesar,3
2013,education,3
2013,estudo,3
2013,experimento,3
2013,fundão,3
2013,ginzburg,3
2013,história,3
2013,jigsaw,3
2013,landau,3
2013,lattes,3
2013,learning,3
2013,leite,3
2013,lopes,3
2013,materiais,3
2013,metodologia,3
2013,newton,3
2013,science,3
2013,tablet,3
2013,térmica,3
2013,uso,3
2014,abs,3
2014,arduino,3
2014,atwood,3
2014,energia,3
2014,fluorescence,3
2014,geiger,3
2014,learning,3
2014,linear,3
2014,masterclasses,3
2014,muller,3
2014,ouvido,3
2014,sbm19,3
2014,school,3
2014,website,3
2015,análise,3
2015,avaliação,3
2015,boltzmann,3
2015,conceito,3
2015,concepções,3
2015,educação,3
2015,fourier,3
2015,hemts,3
2015,história,3
2015,joseph,3
2015,light,3
2015,massa,3
2015,natureza,3
2015,thomas,3
2015,young,3
2016,039,3
2016,aceleração,3
2016,cern,3
2016,daq,3
2016,demonstração,3
2016,doppler,3
2016,fu,3
2016,gif,3
2016,kung,3
2016,light,3
2016,masterclasses,3
2016,plx,3
2016,s,3
2017,alunos,3
2017,análise,3
2017,circuitos,3
2017,collision,3
2017,didático,3
2017,electric,3
2017,estudo,3
2017,experimental,3
2017,fourier,3
2017,hands,3
2017,investigação,3
2017,laboratório,3
2017,literatura,3
2017,lucie,3
2017,mecânica,3
2017,pierre,3
2017,problemas,3
2017,revisão,3
2017,school,3
2017,science,3
2017,trânsito,3
2018,amplitudes,3
2018,angular,3
2018,astronomy,3
2018,calor,3
2018,campo,3
2018,chladni,3
2018,concepções,3
2018,custo,3
2018,digital,3
2018,electric,3
2018,estudo,3
2018,fluidos,3
2018,gauss,3
2018,high,3
2018,história,3
2018,latitude,3
